,com_code,Nom,population,forêt,K2,densité population,densité de foret,temperature,humidity,weather_description,code_dep
0,01053,Bourg-en-Bresse,43210,21602,"25,14374763",1719,859,"16,42",52,overcast clouds,01
1,01283,Oyonnax,22689,0,"37,65442949",603,0,16,70,overcast clouds,01
2,02408,Laon,24666,0,"52,96832945",466,0,"14,5",85,overcast clouds,02
3,02691,Saint-Quentin,54166,0,"27,45728748",1973,0,"14,4",90,overcast clouds,02
4,02722,Soissons,29367,0,"14,5011041",2025,0,"16,48",84,overcast clouds,02
5,03185,Montluçon,34378,42731,"21,74512153",1581,1965,"18,17",61,overcast clouds,03
6,03310,Vichy,26091,23450,"6,117210188",4265,3833,"17,03",50,overcast clouds,03
7,04112,Manosque,23572,1402427,"54,43606862",433,25763,"20,87",60,clear sky,04
8,05061,Gap,41935,7855412,"107,2681606",391,73232,"13,8",42,clear sky,05
9,06004,Antibes,76147,0,"25,64913712",2969,0,"20,5",54,clear sky,06
10,06027,Cagnes-sur-Mer,53034,3246,"17,39747061",3048,187,"21,23",55,clear sky,06
11,06029,Cannes,73990,4868103,"19,96015708",3707,243891,"21,87",48,clear sky,06
12,06030,Le Cannet,41969,0,"7,305519248",5745,0,"21,35",51,clear sky,06
13,06069,Grasse,49163,28194,"42,31180087",1162,666,"18,65",49,clear sky,06
14,06079,Mandelieu-la-Napoule,21828,26046,"30,49197785",716,854,"21,72",48,clear sky,06
15,06083,Menton,30843,1056480,"13,61259357",2266,77610,"19,78",64,clear sky,06
16,06085,Mougins,20109,120960,"24,78207335",811,4881,"20,82",50,clear sky,06
17,06088,Nice,351011,7017816,"70,7585135",4961,99180,13,75,clear sky,06
18,06123,Saint-Laurent-du-Var,31140,0,"8,938700476",3484,0,"20,81",55,clear sky,06
19,06155,Vallauris,28222,0,"12,51231083",2256,0,"20,61",52,clear sky,06
20,08105,Charleville-Mézières,47425,57893,"38,03893101",1247,1522,"11,56",87,overcast clouds,08
21,10387,Troyes,63883,2904,"15,06726794",4240,193,"18,03",59,clear sky,10
22,11069,Carcassonne,47345,800831,"61,37043066",771,13049,"18,53",53,clear sky,11
23,11262,Narbonne,57571,3201640,"164,3084543",350,19486,"19,82",40,few clouds,11
24,12145,Millau,22399,234048,"164,9632957",136,1419,"19,07",57,scattered clouds,12
25,12202,Rodez,26037,0,"11,01131509",2365,0,"17,82",45,clear sky,12
26,13001,Aix-en-Provence,150641,474042,"178,3764541",845,2658,"21,12",40,clear sky,13
27,13002,Allauch,21717,606424,"47,6360594",456,12730,"20,52",38,clear sky,13
28,13004,Arles,51121,2262045,"720,8566702",71,3138,"19,83",42,clear sky,13
29,13005,Aubagne,47747,283855,"51,73864664",923,5486,"21,45",38,clear sky,13
30,13028,La Ciotat,37356,0,"30,2217908",1236,0,"20,08",63,clear sky,13
31,13041,Gardanne,21510,7202,"25,74835578",835,280,"21,02",39,clear sky,13
32,13047,Istres,45246,162450,"108,8608319",416,1492,"21,4",40,clear sky,13
33,13054,Marignane,33222,7528,"22,31639654",1489,337,"21,04",43,clear sky,13
34,13055,Marseille,879238,238528700,"224,8768592",3910,1060708,"19,86",38,clear sky,13
35,13056,Martigues,49131,59508,"70,44866708",697,845,"21,57",42,clear sky,13
36,13063,Miramas,26806,0,"24,56351608",1091,0,"21,31",40,clear sky,13
37,13071,Les Pennes-Mirabeau,22393,0,"31,97739766",700,0,"20,89",40,clear sky,13
38,13103,Salon-de-Provence,45290,99138,"67,34986528",672,1472,"20,84",41,clear sky,13
39,13117,Vitrolles,35927,3871,"34,86009354",1031,111,"20,46",42,clear sky,13
