com_code;code postal;Nom;com pos;lat;lon;population;forêt;K2;densité popopulation;densité de foret;temperature;humidity;weather_description;market;nb_hop;log moy;log min;log max
01053;01000;Bourg-en-Bresse;01000-Bourg-en-Bresse;46,20515204;5,246021255;43210;21602;25,14374763;1719;859;16;52;overcast clouds;3;1;208357;1;1820000
01283;01100;Oyonnax;01100-Oyonnax;46,26054359;5,653443209;22689;0;37,65442949;603;0;16;70;overcast clouds;10;1;315783;1;3300000
02408;02000;Laon;02000-Laon;49,56797249;3,620895619;24666;0;52,96832945;466;0;15;85;overcast clouds;7;0;128603;1;2250000
02691;02100;Saint-Quentin;02100-Saint-Quentin;49,84723363;3,277694995;54166;0;27,45728748;1973;0;14;90;overcast clouds;12;2;157133;1;2190000
02722;02200;Soissons;02200-Soissons;49,3791743;3,324717585;29367;0;14,5011041;2025;0;16;84;overcast clouds;4;0;157856;1;1300000
03185;03100;Montluçon;03100-Montluçon;46,33858835;2,603904998;34378;42731;21,74512153;1581;1965;18;61;overcast clouds;14;0;128635;1;4100000
03310;03200;Vichy;03200-Vichy;46,13000514;3,424420812;26091;23450;6,117210188;4265;3833;17;50;overcast clouds;269;4;194185;1;2311021,5
04112;04100;Manosque;04100-Manosque;43,83540408;5,791066542;23572;1402427;54,43606862;433;25763;21;60;clear sky;44;1;176017;1;865000
05061;05000;Gap;05000-Gap;44,57986006;6,064860521;41935;7855412;107,2681606;391;73232;14;42;clear sky;18;0;288455;500;2962990
06004;06160;Antibes;06160-Antibes;43,58746515;7,106354183;76147;0;25,64913712;2969;0;21;54;clear sky;31;1;1937910;1;48000000
06027;06800;Cagnes-sur-Mer;06800-Cagnes-sur-Mer;43,67151621;7,152757034;53034;3246;17,39747061;3048;187;21;55;clear sky;3;0;1228444;1;12203090
06029;06150;Cannes;06150-Cannes;43,55262028;7,004275927;73990;4868103;19,96015708;3707;243891;22;48;clear sky;9;1;310230;100;1920000
