uo_lib;nom_court;type_d_etablissement;secteur_d_etablissement;url;coordonnees;lat;lon;element_wikidata;date_creation;dep_id;dep_nom;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2022
Y SCHOOLS;Y SCHOOLS;École;privé;https://www,yschools,fr/;48,28417,4,07982;48.2841;4.07982;https://www,wikidata,org/entity/Q3117947;1992;D010;Aube;10000;Troyes;France;
Université de technologie de Troyes;;École;public;https://www,utt,fr/;48,26834,4,06794;48.2683;4.06794;https://www,wikidata,org/entity/Q1037208;16/09/1994;D010;Aube;10004;Troyes CEDEX;France;3196
Institut supérieur du bâtiment et des travaux publics;ISBA TP;École;privé;https://www,isba,fr/;50,646362,3,055673;50.6463;3.055673;https://www,wikidata,org/entity/Q60846049;1952;D013;Bouches-du-Rhône;13006;MARSEILLE;France;
Aix-Marseille Université;AMU;Université;public;https://www,univ-amu,fr/;43,2935,5,35781;43.2935;5.35781;https://www,wikidata,org/entity/Q2302586;01/01/2012;D013;Bouches-du-Rhône;13284;Marseille CEDEX 07;France;63950
Centrale Méditerranée;;École;public;https://www,centrale-mediterranee,fr/fr;43,34136,5,43829;43.3413;5.43829;https://www,wikidata,org/entity/Q273454;02/10/2003;D013;Bouches-du-Rhône;13451;Marseille CEDEX 13;France;1105
Sciences Po Aix;IEP d'Aix-en-Provence;Autre établissement;public;http://www,sciencespo-aix,fr/;43,53146,5,44663;43.5314;5.44663;https://www,wikidata,org/entity/Q1139065;31/03/1956;D013;Bouches-du-Rhône;13625;Aix-en-Provence CEDEX 1;France;1696
Ecole de l'air et de l'espace;;Grand établissement;public;https://www,ecole-air-espace,fr/;43,624652,5,111764;43.6246;5.111764;https://www,wikidata,org/entity/Q3577870;1935;D013;Bouches-du-Rhône;13661;SALON AIR CEDEX;France;
École supérieure d'arts et médias de Caen - Cherbourg;ÉSAM Caen/Cherbourg;École;public;http://www,esam-c2,fr/;49,180866,-0,346302;49.1808;-0.346302;https://www,wikidata,org/entity/Q3578397;2011;D014;Calvados;14000;CAEN;France;
Université de Caen Normandie;UNICAEN;Université;public;http://www,unicaen,fr/;49,18884,-0,36382;49.1888;-0.36382;https://www,wikidata,org/entity/Q568554;01/01/1971;D014;Calvados;14032;Caen CEDEX 5;France;29469
École nationale supérieure d'ingénieurs de Caen;ENSI Caen;École;public;http://www,ensicaen,fr/;49,21467,-0,36735;49.2146;-0.36735;https://www,wikidata,org/entity/Q3578208;1976;D014;Calvados;14050;Caen CEDEX 4;France;818
BUILDERS École d'ingénieurs;BUILDERS Caen;École;privé;https://builders-ingenieurs,fr/;49,2163,-0,366436;49.2163;-0.366436;https://www,wikidata,org/entity/Q3578414;1993;D014;Calvados;14610;Épron;France;
Excelia Group;Excelia;École;privé;https://www,excelia-group,com/;46,14069,-1,15616;46.1406;-1.15616;https://www,wikidata,org/entity/Q3578436;1988;D017;Charente-Maritime;17000;La Rochelle;France;
La Rochelle Université;Université La Rochelle;Université;public;https://www,univ-larochelle,fr/;46,14774,-1,15504;46.1477;-1.15504;https://www,wikidata,org/entity/Q1500822;22/01/1993;D017;Charente-Maritime;17031;La Rochelle;France;7702
EIGSI La Rochelle;;École;privé;http://www,eigsi,fr/;46,13977,-1,15462;46.1397;-1.15462;https://www,wikidata,org/entity/Q3577771;01/09/1990;D017;Charente-Maritime;17041;La Rochelle CEDEX 1;France;
Institut national des sciences appliquées Centre Val de Loire;INSA Centre Val de Loire;École;public;http://www,insa-centrevaldeloire,fr/;47,0821667774133,2,416074872016907;47.0821;2.4160748720169;https://www,wikidata,org/entity/Q15651478;01/01/2014;D018;Cher;18022;Bourges cedex;France;1759
Université de Corse Pasquale Paoli;Université Corse;Université;public;https://www,universita,corsica/fr/;42,30048,9,15328;42.3004;9.15328;https://www,wikidata,org/entity/Q335841;01/12/1975;D02B;Haute-Corse;20250;Corte;France;4130
Burgundy School of Business;;École;privé;https://www,bsb-education,com/;47,32806,5,04142;47.3280;5.04142;https://www,wikidata,org/entity/Q3578434;;D021;Côte-d'Or;21006;Dijon CEDEX;France;
Université de Bourgogne;;Université;public;http://www,u-bourgogne,fr/;47,31274,5,06637;47.3127;5.06637;https://www,wikidata,org/entity/Q287072;01/01/1971;D021;Côte-d'Or;21078;Dijon CEDEX;France;28183
Université de Franche-Comté;UFC;Université;public;https://www,univ-fcomte,fr/;47,24064863864678,6,022701859474183;47.2406;6.02270185947418;https://www,wikidata,org/entity/Q829449;01/01/1971;D025;Doubs;25030;Besançon Cedex;France;21103
